dist_m,Rn_pCiL,Rn_err
0,168.74,17.14
18.72,156.28,16.61
90.81,131.98,15.43
132.97,124.22,15.07
146.27,112.6,14.48
163.26,122.57,15.12
209.93,125.51,15.35
232.4,102.24,14.06
245.09,117.03,15.01
259.8,88.97,15.13
282.58,61.33,13.03
308.01,82.46,14.79
344.42,75.08,14.3
364.79,71.81,14.11
374.6,75.64,14.49
403.76,97.25,14.6
414.85,93.43,14.27
449.61,76.64,14.29
464.27,88.33,15.09
471.15,85.87,14.83
491.28,83.79,14.61
513.75,84.42,14.58
531.08,75.07,13.81
551.16,95.85,15.25
561.14,69.89,13.27
571.99,52.14,9.67
601.47,50.07,9.46
618.66,62.27,13.71
639.27,55.46,13.03
665.09,89.78,15.76
689.66,69.9,14.07
705.53,63.94,13.5
760.24,72.37,14.06
790.43,82.2,14.75
851.27,52.14,12.2
876.56,64.19,14.5
899.44,63.67,14.38
917.77,66.26,14.53
946.43,62.6,14.14
984.83,65.93,14.36
1033.42,38.45,11.68
1079.63,44.58,12.23
1192.87,46.04,12.3
1252.23,38.18,11.44
1278.33,31.53,10.66
1300,42.95,12.48
1313.45,26.69,10.73
1369.95,30.96,11.29
1412.34,40.19,12.37
